Name,racer_id,all_time_avg_percentile,median_percentile_2023,median_percentile_2024,median_percentile_2025,rank,avg_position_last5,median_position_last5
Michael McTaggart,michaelmctaggart,0.02688372024322562,0.017857142857142856,0.0273972602739726,0.023809523809523808,0.024412915851272015,1.6,1.0
Nicholas Balan,nicholasbalan,0.05687486215852874,,0.022856436866814926,0.04411764705882353,0.03082939068881815,4.2,3.0
hunter king,hunterking,0.06497005306187516,,,0.042483660130718956,0.042483660130718956,5.0,3.0
Rob Kansun,robkansun,0.07078267917624968,,,0.05741869918699187,0.05741869918699186,4.4,3.0
Mclean Wood,mcleanwood,0.06769383366217804,0.05172413793103448,0.08948298718515245,0.027777777777777776,0.06341965451211645,4.2,5.0
Will Stewart,willstewart,0.09081189791115146,,0.03367289190718732,0.1332496413199426,0.07101417293697054,8.6,9.0
Brandon Hune,brandonhune,0.08520574755325316,0.06674082313681869,0.05800593031875463,0.09654471544715447,0.07131454442088739,5.6,6.0
Mike Parr,mikeparr,0.06326917710074548,,,0.07142857142857142,0.07142857142857142,3.8,3.0
Graham Ramshaw,grahamramshaw,0.08874809314567272,0.06133540372670807,0.10192735359525573,0.058823529411764705,0.08087781636649888,5.2,5.0
Jeffrey Solomon ,jeffreysolomon,0.09933862433862434,,,0.08571428571428572,0.08571428571428572,5.666666666666667,6.0
Jeremy Ramshaw,jeremyramshaw,0.09773196541489225,,,0.0975609756097561,0.0975609756097561,7.333333333333333,8.0
William Cartar,williamcartar,0.09975847125435208,0.11594202898550725,0.06590963710646479,0.14705882352941177,0.10026087140915738,9.2,8.0
Jeff Cox,jeffcox,0.07378965549043218,0.08928571428571429,0.11246133451171011,0.10008169934640523,0.1041123199169195,7.4,7.0
Thomas Daly,thomasdaly,0.10456662465444927,0.03868630201028518,0.08771929824561403,0.19047619047619047,0.10873976666772119,5.8,5.0
Stephanie Coward,stephaniecoward,0.1464819639257235,0.10344827586206896,0.14107379584622182,0.14285714285714285,0.13408369595266756,10.0,10.0
Andrew Moscoe,andrewmoscoe,0.1411423105827697,,,0.1380952380952381,0.1380952380952381,9.5,9.5
Emma Williamson,emmawilliamson,0.14735174557627928,,,0.14516806722689074,0.14516806722689074,8.75,9.5
Shane Henry,shanehenry,0.1479120457125987,0.125,,0.22794117647058823,0.18676470588235294,14.8,15.0
Laura Coward,lauracoward,0.19877018614882525,0.16129032258064516,0.18460008837825895,0.20833333333333334,0.1870581087052585,14.6,15.0
